Mission;Sample;serial number;return container;Container;Sample type;weight (g)
Apollo 12;12021;NA;selected sample;NA;medium-grained vuggy crystalline igneous rocks;1876.6
Apollo 12;12022;NA;selected sample;NA;medium-grained vuggy crystalline igneous rocks;1864.3
Apollo 12;12023;NA;special samples;LESC;fines;269.3
Apollo 12;12024;NA;special samples;GASC;fines;56.5
Apollo 12;12025;2010;special samples;Drive tube;fines;56.1
Apollo 12;12026;2013;special samples;Drive tube;fines;101.4
Apollo 12;12027;2011;special samples;Drive tube;fines;80.00
Apollo 12;12028;2012;special samples;Drive tube;fines;189.6
Apollo 12;12029;NA;special samples;NA;fines;6.5
Apollo 12;12030;NA;documented sample;bag 1-D;fines;75.00
Apollo 12;12031;NA;documented sample;bag 3-D;medium-grained vuggy crystalline igneous rocks;185.00
Apollo 12;12032;NA;documented sample;bag 4-D;fines;310.5
Apollo 12;12033;NA;documented sample;bag 5-D;fines;450.00
Apollo 12;12034;NA;documented sample;bag 6-D;Breccia;155.00
Apollo 12;12035;NA;documented sample;bag 7-D;medium-grained vuggy crystalline igneous rocks;71.00
Apollo 12;12036;NA;documented sample;bag 8-D;medium-grained vuggy crystalline igneous rocks;75.00
Apollo 12;12037;NA;documented sample;bag 8-D;fines;145.00
Apollo 12;12038;NA;documented sample;bag 9-D;fine-grained vesicular crystalline igneous rocks;746.00
Apollo 12;12039;NA;documented sample;bag 10-D;medium-grained vuggy crystalline igneous rocks;255.00
Apollo 12;12040;NA;documented sample;bag 10-D;medium-grained vuggy crystalline igneous rocks;319.00
Apollo 12;12041;NA;documented sample;bag 11-D;fines;46258.00
Apollo 12;12042;NA;documented sample;bag 12-D;fines;255.00
Apollo 12;12043;NA;documented sample;bag 14-D;fine-grained vesicular crystalline igneous rocks;60.00
Apollo 12;12044;NA;documented sample;bag 14-D;fines;92.00
Apollo 12;12045;NA;documented sample;bag 15-D;fine-grained vesicular crystalline igneous rocks;63.00
Apollo 12;12046;NA;documented sample;bag 15-D;fine-grained vesicular crystalline igneous rocks;166.00
Apollo 12;12047;NA;documented sample;bag 15-D;fine-grained vesicular crystalline igneous rocks;193.00
Apollo 12;12048;NA;documented sample;bag 7-D;fines;2.00
Apollo 12;12050;NA;documented sample;NA;chips;1.00
Apollo 12;12051;NA;documented sample;D-ALSRC;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;1660.00
Apollo 12;12052;NA;documented sample;D-ALSRC;fine-grained vesicular crystalline igneous rocks;1866.00
Apollo 12;12053;NA;documented sample;D-ALSRC;fine-grained vesicular crystalline igneous rocks;879.00
Apollo 12;12054;NA;documented sample;D-ALSRC;medium-grained vuggy crystalline igneous rocks;687.00
Apollo 12;12055;NA;documented sample;NA;medium-grained vuggy crystalline igneous rocks;912.00
Apollo 12;12056;NA;documented sample;D-ALSRC;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;121.00
Apollo 12;12057;NA;documented sample;NA;fines and chips;650.00
Apollo 12;12060;NA;tote bag sample;NA;fines;20.7
Apollo 12;12061;NA;tote bag sample;NA;chips;9.5
Apollo 12;12062;NA;tote bag sample;tote bag;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;738.7
Apollo 12;12063;NA;tote bag sample;tote bag;fine-grained vesicular crystalline igneous rocks;2426.00
Apollo 12;12064;NA;tote bag sample;tote bag;medium-grained vuggy crystalline igneous rocks;1214.3
Apollo 12;12065;NA;tote bag sample;tote bag;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;2109.00
Apollo 12;12070;NA;contingency sample;NA;fines;1102.00
Apollo 12;12071;NA;contingency sample;NA;chips;9.16
Apollo 12;12072;NA;contingency sample;NA;fine-grained vesicular crystalline igneous rocks;103.6
Apollo 12;12073;NA;contingency sample;NA;Breccia;407.65
Apollo 12;12075;NA;contingency sample;NA;fine-grained vesicular crystalline igneous rocks;232.5
Apollo 12;12076;NA;contingency sample;NA;fine-grained vesicular crystalline igneous rocks;54.55
Apollo 12;12077;NA;contingency sample;NA;fine-grained vesicular crystalline igneous rocks;22.63
Apollo 14;14006;NA;contingency sample;weigh bag 1039;Breccia;12
Apollo 14;14007;NA;contingency sample;weigh bag 1039;Breccia;3.67
Apollo 14;14008;NA;contingency sample;weigh bag 1039;Breccia;4.35
Apollo 14;14009;NA;contingency sample;weigh bag 1039;Breccia;1.09
Apollo 14;14010;NA;contingency sample;weigh bag 1039;Breccia;1
Apollo 14;14011;NA;contingency sample;weigh bag 1039;Breccia;0.68
Apollo 14;14041;NA;contingency sample;bag 3N;friable fine-grained clastic rock ;166.3
Apollo 14;14042;NA;contingency sample;bag 3N;friable fine-grained clastic rock ;103.2
Apollo 14;14043;NA;contingency sample;bag 3N;friable fine-grained clastic rock ;5.9
Apollo 14;14045;NA;contingency sample;bag 4N;friable fine-grained clastic rock ;65.2
Apollo 14;14047;NA;contingency sample;bag 5N;fine-grained clastic rock;242
Apollo 14;14049;NA;contingency sample;bag 6N;friable fragmental rock;200.13
Apollo 14;14051;NA;contingency sample;bag 7N;fragmental rock;191.3
Apollo 14;14053;NA;contingency sample;bag 14N;mare basalt;251.3
Apollo 14;14055;NA;contingency sample;bag 15N;friable fine-grained clastic rock ;111
Apollo 14;14056;NA;contingency sample;bag 15N;soil clod;6.38
Apollo 14;14057;NA;contingency sample;bag 15N;friable rock;5.51
Apollo 14;14058;NA;contingency sample;bag 15N;clastic rock;4.53
Apollo 14;14059;NA;contingency sample;bag 15N;NA;8.68
Apollo 14;14060;NA;contingency sample;bag 15N;fragmental rock;2.5
Apollo 14;14061;NA;contingency sample;bag 15N;fragmental rock;3.11
Apollo 14;14063;NA;contingency sample;bag 16N;white rock;135.55
Apollo 14;14064;NA;contingency sample;bag 16N;white rock;107.5
Apollo 14;14066;NA;contingency sample;bag 17N;fragmental rock;509.8
Apollo 14;14068;NA;contingency sample;bag 10N;holocrystalline melt rock;35.47
Apollo 14;14069;NA;contingency sample;bag 10N;breccia;24.9
Apollo 14;14070;NA;contingency sample;bag 10N;breccia;36.5
Apollo 14;14071;NA;contingency sample;bag 10N;crystalline rock;2.16
Apollo 14;14072;NA;contingency sample;bag 10N;basalt;45.06
