Mission;Sample;serial number;return container;Container;Sample type;weight (g)
Apollo 15;15116;NA;SRC 1;DB 186;gabbro;7.2
Apollo 15;15117;NA;SRC 1;DB 186;porphyritic basalt;23.3
Apollo 15;15118;NA;SRC 1;DB 186;porphyritic basalt;27.6
Apollo 15;15119;NA;SRC 1;DB 186;basalt with adhering breccia;14.1
Apollo 15;15125;NA;SRC 1;DB 186;basalt;6.5
Apollo 15;15135;NA;SRC 1;DB 186;glassy microbreccia;1.6
Apollo 15;15145;NA;SRC 1;DB 186;breccia;15.1
Apollo 15;15146;NA;SRC 1;DB 186;breccia;1
Apollo 15;15147;NA;SRC 1;DB 186;soil breccia;3.7
Apollo 15;15148;NA;SRC 1;DB 186;soil breccia;3
Apollo 15;15200;NA;SRC 1;DB 160;unsieved fines ;7.7
Apollo 15;15201;NA;SRC 1;DB 160;<1mm fines;18.3
Apollo 15;15202;NA;SRC 1;DB 160;1-2mm fines;0.4
Apollo 15;15203;NA;SRC 1;DB 160;2-4mm fines;0.2
Apollo 15;15204;NA;SRC 1;DB 160;4-10mm fines;0.1
Apollo 15;15205;NA;SRC 1;DB 161;coarse breccia;337.3
Apollo 15;15206;NA;SRC 1;DB 160;glassy breccia ;92
Apollo 15;15210;NA;SRC 1;DB 180;unsieved fines ;221.2
Apollo 15;15211;NA;SRC 1;DB 180;<1mm fines;163.5
Apollo 15;15212;NA;SRC 1;DB 180;1-2mm fines;3.6
Apollo 15;15213;NA;SRC 1;DB 180;2-4mm fines;2.4
Apollo 15;15214;NA;SRC 1;DB 180;4-10mm fines;0.2
Apollo 15;15220;NA;SRC 1;DB 181;unsieved fines ;160.5
Apollo 15;15221;NA;SRC 1;DB 181;<1mm fines;290
Apollo 15;15222;NA;SRC 1;DB 181;1-2mm fines;2.4
Apollo 15;15223;NA;SRC 1;DB 181;2-4mm fines;5.8
Apollo 15;15224;NA;SRC 1;DB 181;4-10mm fines;7
Apollo 15;15230;NA;SRC 1;DB 182;unsieved fines ;99.1
Apollo 15;15231;NA;SRC 1;DB 182;<1mm fines;233.9
Apollo 15;15232;NA;SRC 1;DB 182;1-2mm fines;5.2
Apollo 15;15233;NA;SRC 1;DB 182;2-4mm fines;3.8
Apollo 15;15234;NA;SRC 1;DB 182;4-10mm fines;1.8
Apollo 15;15240;NA;SRC 2;DB 163;unsieved fines ;67.1
Apollo 15;15241;NA;SRC 2;DB 163;<1mm fines;197.4
Apollo 15;15242;NA;SRC 2;DB 163;1-2mm fines;18.9
Apollo 15;15243;NA;SRC 2;DB 163;2-4mm fines;31.8
Apollo 15;15244;NA;SRC 2;DB 163;4-10mm fines;32.6
Apollo 15;15245;NA;SRC 2;DB 163;glass coated breccia;115.5
Apollo 15;15250;NA;SRC 2;DB 164;unsieved fines ;207
Apollo 15;15251;NA;SRC 2;DB 164;<1mm fines;380.9
Apollo 15;15252;NA;SRC 2;DB 164;1-2mm fines;8.3
Apollo 15;15253;NA;SRC 2;DB 164;2-4mm fines;4
Apollo 15;15254;NA;SRC 2;DB 164;4-10mm fines;1.2
Apollo 15;15255;NA;SRC 2;DB 190;glass coated breccia;240.4
Apollo 15;15256;NA;SRC 2;DB 190;basalt;201
Apollo 15;15257;NA;SRC 2;DB 190;microbreccia;22.5
Apollo 15;15258;NA;SRC 2;DB 192;microbreccia;0.7
Apollo 15;15260;NA;SRC 2;DB 166;unsieved fines ;172.2
Apollo 15;15261;NA;SRC 2;DB 166;<1mm fines;416.6
Apollo 15;15262;NA;SRC 2;DB 166;1-2mm fines;9.1
Apollo 15;15263;NA;SRC 2;DB 166;2-4mm fines;6.7
Apollo 15;15264;NA;SRC 2;DB 166;4-10mm fines;5.9
Apollo 15;15265;NA;SRC 2;DB 193;fine breccia;314.1
Apollo 15;15266;NA;SRC 2;DB 193;fine breccia;271.4
Apollo 15;15267;NA;SRC 2;DB 193;microbreccia;1.8
Apollo 15;15268;NA;SRC 2;DB 192;microbreccia;11
Apollo 15;15269;NA;SRC 2;DB 192;glassy microbreccia;6
Apollo 15;15270;NA;SRC 2;DB 167;unsieved fines ;319
Apollo 15;15271;NA;SRC 2;DB 167;<1mm fines;798.3
Apollo 15;15272;NA;SRC 2;DB 167;1-2mm fines;20.7
Apollo 15;15273;NA;SRC 2;DB 167;2-4mm fines;13.7
Apollo 15;15274;NA;SRC 2;DB 167;4-10mm fines;4.4
Apollo 15;15281;NA;SRC 2;SCB 3;<1mm fines;107
Apollo 15;15282;NA;SRC 2;SCB 3;1-2mm fines;9.7
Apollo 15;15283;NA;SRC 2;SCB 3;2-4mm fines;13.3
Apollo 15;15284;NA;SRC 2;SCB 3;4-10mm fines;38.2
Apollo 15;15285;NA;SRC 2;DB 192;breccia;264.2
Apollo 15;15286;NA;SRC 2;DB 192;vesicular basalt glass and microbreccia;34.6
Apollo 15;15287;NA;SRC 2;DB 192;soil breccia;44.9
Apollo 15;15288;NA;SRC 2;DB 192;glassy breccia;70.5
Apollo 15;15289;NA;SRC 2;DB 192;breccia;24.1
Apollo 15;15290;NA;SRC 2;DB 188;unsieved fines ;55
Apollo 15;15291;NA;SRC 2;DB 188;<1mm fines;169
Apollo 15;15292;NA;SRC 2;DB 188;1-2mm fines;5.4
Apollo 15;15293;NA;SRC 2;DB 188;2-4mm fines;6.7
Apollo 15;15294;NA;SRC 2;DB 188;4-10mm fines;10.2
Apollo 15;15295;NA;SRC 2;DB 188;breccia;947.3
Apollo 15;15297;NA;SRC 2;SCB 3;breccia chips ;39.4
Apollo 15;15298;NA;SRC 2;SCB 3;microbreccia;1731.4
Apollo 15;15299;NA;SRC 2;SCB 3;breccia;1691.7
Apollo 15;15300;NA;SRC 2;DB 173;unsieved fines ;390.7
Apollo 15;15301;NA;SRC 2;DB 173;<1mm fines;810.2
Apollo 15;15302;NA;SRC 2;DB 173;1-2mm fines;23.2
Apollo 15;15303;NA;SRC 2;DB 173;2-4mm fines;12.7
Apollo 15;15304;NA;SRC 2;DB 173;4-10mm fines;7.3
Apollo 15;15305;NA;SRC 2;DB 173;<10mm green soil conc.;2.9
Apollo 15;15306;NA;SRC 2;DB 173;breccia;134.2
Apollo 15;15307;NA;SRC 2;DB 173;hollow glass sphere;1.3
Apollo 15;15308;NA;SRC 2;DB 173;breccia;1.7
Apollo 15;15310;NA;SRC 2;DB 172;unsieved fines ;140.6
Apollo 15;15311;NA;SRC 2;DB 172;<1mm fines;295
Apollo 15;15312;NA;SRC 2;DB 172;1-2mm fines;10.1
Apollo 15;15313;NA;SRC 2;DB 172;2-4mm fines;9.8
Apollo 15;15314;NA;SRC 2;DB 172;4-10mm fines;8.4
Apollo 15;15315;NA;SRC 2;DB 172;soil breccia containing clasts of brown pyroxene basalt;35.6
Apollo 15;15316;NA;SRC 2;DB 172;soil breccia containing clasts of brown pyroxene basalt;6.1
Apollo 15;15317;NA;SRC 2;DB 172;soil breccia containing clasts of brown pyroxene basalt;0.6
Apollo 15;15318;NA;SRC 2;DB 172;soil breccia containing clasts of brown pyroxene basalt;5.4
Apollo 15;15319;NA;SRC 2;DB 172;soil breccia containing clasts of brown pyroxene basalt;8
Apollo 15;15320;NA;SRC 2;DB 172;soil breccia containing clasts of brown pyroxene basalt;4.7
Apollo 15;15321;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;0.3
Apollo 15;15322;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;8.4
Apollo 15;15323;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;4.4
Apollo 15;15324;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;32.3
Apollo 15;15325;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;57.8
Apollo 15;15326;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;2.5
Apollo 15;15327;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;12.4
Apollo 15;15328;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;0.3
Apollo 15;15329;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;2.2
Apollo 15;15330;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;57.8
Apollo 15;15331;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;2.6
Apollo 15;15332;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;2.3
Apollo 15;15333;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;0.3
Apollo 15;15334;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;7.5
Apollo 15;15335;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;6
Apollo 15;15336;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;0.2
Apollo 15;15337;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;4.3
Apollo 15;15338;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;11.1
Apollo 15;15339;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;0.4
Apollo 15;15340;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;0.9
Apollo 15;15341;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;1.6
Apollo 15;15342;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;7.5
Apollo 15;15343;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;6.9
Apollo 15;15344;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;7.9
Apollo 15;15345;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;12.3
Apollo 15;15346;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;3.1
Apollo 15;15347;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;3.2
Apollo 15;15348;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;0.3
Apollo 15;15349;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;2.3
Apollo 15;15350;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;2.9
Apollo 15;15351;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;4.2
Apollo 15;15352;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;2.9
Apollo 15;15353;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;10.6
Apollo 15;15354;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;0.3
Apollo 15;15355;NA;SRC 2;DB 172;soil breccia lacking clasts of brown pyroxene basalt;5.2
Apollo 15;15356;NA;SRC 2;DB 172;tough microbreccia;2
Apollo 15;15357;NA;SRC 2;DB 172;tough microbreccia;11.8
Apollo 15;15358;NA;SRC 2;DB 172;tough microbreccia;14.6
Apollo 15;15359;NA;SRC 2;DB 172;tough microbreccia;4.2
Apollo 15;15360;NA;SRC 2;DB 172;tough microbreccia;9.3
Apollo 15;15361;NA;SRC 2;DB 172;pale green microcrystalline rock ;0.9
Apollo 15;15362;NA;SRC 2;DB 172;anorthosite ;4.2
Apollo 15;15363;NA;SRC 2;DB 172;anorthosite ;0.5
Apollo 15;15364;NA;SRC 2;DB 172;anorthosite ;1.5
Apollo 15;15365;NA;SRC 2;DB 172;green glass microbreccia;2.9
Apollo 15;15366;NA;SRC 2;DB 172;green glass microbreccia;3.3
Apollo 15;15367;NA;SRC 2;DB 172;green glass microbreccia;1.1
Apollo 15;15368;NA;SRC 2;DB 172;green glass microbreccia;0.4
Apollo 15;15369;NA;SRC 2;DB 172;green glass microbreccia;2.5
Apollo 15;15370;NA;SRC 2;DB 172;green glass microbreccia;2.9
Apollo 15;15371;NA;SRC 2;DB 172;green glass microbreccia;0.5
Apollo 15;15372;NA;SRC 2;DB 172;green glass microbreccia;0.8
Apollo 15;15373;NA;SRC 2;DB 172;green glass microbreccia;0.6
Apollo 15;15374;NA;SRC 2;DB 172;green glass microbreccia;1
Apollo 15;15375;NA;SRC 2;DB 172;green glass microbreccia;0.4
Apollo 15;15376;NA;SRC 2;DB 172;green glass microbreccia;1
Apollo 15;15377;NA;SRC 2;DB 172;green glass microbreccia;0.5
Apollo 15;15378;NA;SRC 2;DB 172;fine non-mare basalt;3.3
Apollo 15;15379;NA;SRC 2;DB 172;fine non-mare basalt;64.3
Apollo 15;15380;NA;SRC 2;DB 172;fine non-mare basalt;5.2
Apollo 15;15381;NA;SRC 2;DB 172;fine non-mare basalt;0.3
Apollo 15;15382;NA;SRC 2;DB 172;fine non-mare basalt;3.2
Apollo 15;15383;NA;SRC 2;DB 172;fine non-mare basalt;1.4
Apollo 15;15384;NA;SRC 2;DB 172;fine non-mare basalt;1.4
Apollo 15;15385;NA;SRC 2;DB 172;coarse mare basalt;8.7
Apollo 15;15386;NA;SRC 2;DB 172;coarse mare basalt;7.5
Apollo 15;15387;NA;SRC 2;DB 172;coarse mare basalt;2
Apollo 15;15388;NA;SRC 2;DB 172;coarse mare basalt;9
Apollo 15;15389;NA;SRC 2;DB 172;glass;2.8
Apollo 15;15390;NA;SRC 2;DB 172;glass;3.5
Apollo 15;15391;NA;SRC 2;DB 172;glass;0.3
Apollo 15;15392;NA;SRC 2;DB 172;glass;0.4
Apollo 15;15400;NA;SRC 2;DB 168;unsieved fines ;47.5
Apollo 15;15401;NA;SRC 2;DB 168;<1mm fines;86.4
Apollo 15;15402;NA;SRC 2;DB 168;1-2mm fines;4.8
Apollo 15;15403;NA;SRC 2;DB 168;2-4mm fines;6.1
Apollo 15;15404;NA;SRC 2;DB 168;4-10mm fines;7.9
Apollo 15;15405;NA;SRC 2;DB 168;recrystallized breccia;513.1
Apollo 15;15410;NA;SRC 2;DB 194;unsieved fines ;56.2
Apollo 15;15411;NA;SRC 2;DB 194;<1mm fines;103.3
Apollo 15;15412;NA;SRC 2;DB 194;1-2mm fines;7.1
Apollo 15;15413;NA;SRC 2;DB 194;2-4mm fines;6.7
Apollo 15;15414;NA;SRC 2;DB 194;4-10mm fines;4
Apollo 15;15415;NA;SRC 2;DB 196;anorthosite ;269.4
Apollo 15;15417;NA;SRC 2;DB 194;breccia;1.3
Apollo 15;15418;NA;SRC 2;DB 194;vitreous breccia;1140.7
Apollo 15;15419;NA;SRC 2;DB 194;breccia with glass;17.7
Apollo 15;15421;NA;SRC 2;DB 195;<1mm fines;254.7
Apollo 15;15422;NA;SRC 2;DB 195;1-2mm fines;15.9
Apollo 15;15423;NA;SRC 2;DB 195;2-4mm fines;18.3
Apollo 15;15424;NA;SRC 2;DB 195;4-10mm fines;19.5
Apollo 15;15425;NA;SRC 2;DB 195;green and gray clods;136.3
Apollo 15;15426;NA;SRC 2;DB 195;green and gray clods;223.6
Apollo 15;15427;NA;SRC 2;DB 195;green and gray clods;115.9
Apollo 15;15431;NA;SRC 2;DB 170;<1mm fines;475.7
Apollo 15;15432;NA;SRC 2;DB 170;1-2mm fines;39.7
Apollo 15;15433;NA;SRC 2;DB 170;2-4mm fines;31.2
Apollo 15;15434;NA;SRC 2;DB 170;4-10mm fines;51.6
Apollo 15;15435;NA;SRC 2;DB 170;gray clods;206.8
Apollo 15;15445;NA;SRC 2;DB 171;breccia with white clasts ;287.2
Apollo 15;15455;NA;SRC 2;DB 198;black and white breccia;937.2
Apollo 15;15459;NA;SRC 2;SCB 6;breccia with large clasts ;5854
Apollo 15;15465;NA;SRC 2;DB 199;glass coated breccia;376
Apollo 15;15466;NA;SRC 2;DB 199;dark glass with clasts ;119.2
Apollo 15;15467;NA;SRC 2;DB 199;microbreccia;1.1
Apollo 15;15468;NA;SRC 2;DB 199;glass and breccia;1.3
Apollo 15;15470;NA;SRC 2;DB 203;unsieved fines ;82.2
Apollo 15;15471;NA;SRC 2;DB 203;<1mm fines;153
Apollo 15;15472;NA;SRC 2;DB 203;1-2mm fines;6.1
Apollo 15;15473;NA;SRC 2;DB 203;2-4mm fines;4.5
Apollo 15;15474;NA;SRC 2;DB 203;4-10mm fines;4.7
Apollo 15;15475;NA;SRC 2;DB 203;basalt ;406.8
Apollo 15;15476;NA;SRC 2;DB 203;basalt ;266.3
Apollo 15;15485;NA;SRC 2;DB 204;basalt;104.9
Apollo 15;15486;NA;SRC 2;DB 204;basalt with gray coatings ;46.8
Apollo 15;15495;NA;SRC 2;DB 174;gabbro;908.9
Apollo 15;15498;NA;SRC 2;SCB 6;recrystallized breccia;2339.8
Apollo 15;15499;NA;SRC 2;SCB 5;vesicular basalt  ;2024
Apollo 15;15500;NA;SRC 2;DB 255;unsieved fines ;24.8
Apollo 15;15501;NA;SRC 2;DB 255;<1mm fines;103
Apollo 15;15502;NA;SRC 2;DB 255;1-2mm fines;4.4
Apollo 15;15503;NA;SRC 2;DB 255;2-4mm fines;3.8
Apollo 15;15504;NA;SRC 2;DB 255;4-10mm fines;4.1
Apollo 15;15505;NA;SRC 2;DB 255;glass coated breccia ;1147.4
Apollo 15;15506;NA;SRC 2;DB 255;glass coated microbreccia;22.9
Apollo 15;15507;NA;SRC 2;DB 255;vesicular glass ellipsoid;3.9
Apollo 15;15508;NA;SRC 2;DB 255;glass coated microbreccia;1.4
Apollo 15;15510;NA;SRC 2;DB 273;unsieved fines ;72.3
Apollo 15;15511;NA;SRC 2;DB 273;<1mm fines;193.1
Apollo 15;15512;NA;SRC 2;DB 273;1-2mm fines;4.9
Apollo 15;15513;NA;SRC 2;DB 273;2-4mm fines;4.4
Apollo 15;15514;NA;SRC 2;DB 273;4-10mm fines;1.1
Apollo 15;15515;NA;SRC 2;DB 273;brown gray clods;144.7
Apollo 15;15528;NA;SRC 2;DB 274;breccia;4.7
Apollo 15;15529;NA;SRC 2;DB 274;vesicular basalt ;1531
Apollo 15;15530;NA;SRC 2;DB 275;unsieved fines ;138
Apollo 15;15531;NA;SRC 2;DB 275;<1mm fines;136
Apollo 15;15532;NA;SRC 2;DB 275;1-2mm fines;6.3
Apollo 15;15533;NA;SRC 2;DB 275;2-4mm fines;5.4
Apollo 15;15534;NA;SRC 2;DB 275;4-10mm fines;6
Apollo 15;15535;NA;SRC 2;DB 275;porphyritic olivine basalt;404.4
Apollo 15;15536;NA;SRC 2;DB 275;basalt;317.2
Apollo 15;15537;NA;SRC 2;DB 275;coarse grained basalt ;1.9
Apollo 15;15538;NA;SRC 2;DB 275;olivine microgabbro;2.6
Apollo 15;15545;NA;SRC 2;DB 278;basalt;746.6
Apollo 15;15546;NA;SRC 2;DB 278;basalt;27.8
Apollo 15;15547;NA;SRC 2;DB 278;vuggy basalt;20.1
Apollo 15;15548;NA;SRC 2;DB 278;basalt;3.3
Apollo 15;15555;NA;Sample return bag;loose rock;vuggy basalt;9613.7
Apollo 15;15556;NA;SRC 2;SCB 2;vesicular basalt;1542.3
Apollo 15;15557;NA;SRC 2;SCB 2;basalt;2518
Apollo 15;15558;NA;SRC 2;SCB 2;breccia;1333.3
Apollo 15;15561;NA;SRC 2;SCB 2;<1mm SCB 2 residue ;112.5
Apollo 15;15562;NA;SRC 2;SCB 2;1-2mm SCB 2 residue ;20.6
Apollo 15;15563;NA;SRC 2;SCB 2;2-4mm SCB 2 residue;30.4
Apollo 15;15564;NA;SRC 2;SCB 2;4-10mm SCB 2 residue ;50
Apollo 15;15565;NA;SRC 2;SCB 2;breccia fragments ;822.6
Apollo 15;15595;NA;SRC 2;DB 281;porphyritic basalt;237.6
Apollo 15;15596;NA;SRC 2;DB 281;basalt;224.8
Apollo 15;15597;NA;SRC 2;DB 281;basalt;145.7
Apollo 15;15598;NA;SRC 2;DB 281;basalt;135.7
Apollo 15;15600;NA;SRC 2;DB 283;reserve fines;449.1
Apollo 15;15601;NA;SRC 2;DB 283;<1mm fines;802
Apollo 15;15602;NA;SRC 2;DB 283;1-2mm fines;32.9
Apollo 15;15603;NA;SRC 2;DB 283;2-4mm fines;25.5
Apollo 15;15604;NA;SRC 2;DB 283;4-10mm fines;21.5
Apollo 15;15605;NA;SRC 2;DB 283;basalt;6.1
Apollo 15;15606;NA;SRC 2;DB 283;vesicular basalt;10.1
Apollo 15;15607;NA;SRC 2;DB 283;coarse grained basalt ;14.8
Apollo 15;15608;NA;SRC 2;DB 283;microporphyritic basalt;1.2
Apollo 15;15609;NA;SRC 2;DB 283;basalt;1.1
Apollo 15;15610;NA;SRC 2;DB 283;basalt with clinopyroxene;1.5
Apollo 15;15612;NA;SRC 2;DB 282;vesicular olivine basalt;5.9
Apollo 15;15613;NA;SRC 2;DB 282;vesicular olivine basalt;1
Apollo 15;15614;NA;SRC 2;DB 282;vesicular olivine basalt;9.7
Apollo 15;15615;NA;SRC 2;DB 282;vesicular olivine basalt;1.7
Apollo 15;15616;NA;SRC 2;DB 282;vesicular olivine basalt;8
Apollo 15;15617;NA;SRC 2;DB 282;vesicular olivine basalt;3.1
Apollo 15;15618;NA;SRC 2;DB 282;vesicular olivine basalt;0.8
Apollo 15;15619;NA;SRC 2;DB 282;vesicular olivine basalt;0.6
Apollo 15;15620;NA;SRC 2;DB 282;vesicular olivine basalt;6.6
Apollo 15;15621;NA;SRC 2;DB 282;vesicular olivine basalt;1.6
Apollo 15;15622;NA;SRC 2;DB 282;vesicular olivine basalt;29.5
Apollo 15;15623;NA;SRC 2;DB 282;vesicular olivine basalt;3
Apollo 15;15624;NA;SRC 2;DB 282;vesicular olivine basalt;0.2
Apollo 15;15625;NA;SRC 2;DB 282;vesicular olivine basalt;0.5
Apollo 15;15626;NA;SRC 2;DB 282;vesicular olivine basalt;0.6
Apollo 15;15627;NA;SRC 2;DB 282;vesicular olivine basalt;0.4
Apollo 15;15628;NA;SRC 2;DB 282;vesicular olivine basalt;0.4
Apollo 15;15629;NA;SRC 2;DB 282;vesicular olivine basalt;0.4
Apollo 15;15630;NA;SRC 2;DB 282;vesicular olivine basalt;23.2
Apollo 15;15632;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;2.3
Apollo 15;15633;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;7.4
Apollo 15;15634;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;5.2
Apollo 15;15635;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;0.5
Apollo 15;15636;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;336.7
Apollo 15;15637;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;0.9
Apollo 15;15638;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;3.6
Apollo 15;15639;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;7
Apollo 15;15640;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;0.5
Apollo 15;15641;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;6.9
Apollo 15;15642;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;1.9
Apollo 15;15643;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;17.9
Apollo 15;15644;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;0.4
Apollo 15;15645;NA;SRC 2;DB 282;porphyritic basalt with clinopyroxene;0.5
Apollo 15;15647;NA;SRC 2;DB 282;fine subophitic basalt;48.1
Apollo 15;15648;NA;SRC 2;DB 282;fine subophitic basalt;9.1
Apollo 15;15649;NA;SRC 2;DB 282;fine subophitic basalt;6.2
Apollo 15;15650;NA;SRC 2;DB 282;fine subophitic basalt;3.4
Apollo 15;15651;NA;SRC 2;DB 282;fine subophitic basalt;1.6
Apollo 15;15652;NA;SRC 2;DB 282;fine subophitic basalt;0.7
Apollo 15;15653;NA;SRC 2;DB 282;fine subophitic basalt;0.4
Apollo 15;15654;NA;SRC 2;DB 282;fine subophitic basalt;0.2
Apollo 15;15655;NA;SRC 2;DB 282;fine subophitic basalt;0.4
Apollo 15;15656;NA;SRC 2;DB 282;fine subophitic basalt;0.2
Apollo 15;15658;NA;SRC 2;DB 282;pyroxene phyric basalt;11.6
Apollo 15;15659;NA;SRC 2;DB 282;pyroxene phyric basalt;12.6
Apollo 15;15660;NA;SRC 2;DB 282;pyroxene phyric basalt;8.9
Apollo 15;15661;NA;SRC 2;DB 282;pyroxene phyric basalt;5.9
Apollo 15;15662;NA;SRC 2;DB 282;pyroxene phyric basalt;4.9
Apollo 15;15663;NA;SRC 2;DB 282;pyroxene phyric basalt;10.3
Apollo 15;15664;NA;SRC 2;DB 282;pyroxene phyric basalt;7.4
Apollo 15;15665;NA;SRC 2;DB 282;olivine phyric basalt;10.2
Apollo 15;15666;NA;SRC 2;DB 282;pigeonite phyric basalt;3.9
Apollo 15;15667;NA;SRC 2;DB 282;pigeonite phyric basalt;1.1
Apollo 15;15668;NA;SRC 2;DB 282;olivine phyric basalt;15.1
Apollo 15;15669;NA;SRC 2;DB 282;olivine phyric basalt;4.4
Apollo 15;15670;NA;SRC 2;DB 282;pyroxene phyric basalt;2
Apollo 15;15671;NA;SRC 2;DB 282;vesicular subophitic basalt ;6.1
Apollo 15;15672;NA;SRC 2;DB 282;vesicular subophitic basalt ;21.4
Apollo 15;15673;NA;SRC 2;DB 282;vesicular subophitic basalt ;5.9
Apollo 15;15674;NA;SRC 2;DB 282;fine porphyritic basalt;35.7
Apollo 15;15675;NA;SRC 2;DB 282;fine porphyritic basalt;34.5
Apollo 15;15676;NA;SRC 2;DB 282;fine porphyritic basalt;25.3
Apollo 15;15677;NA;SRC 2;DB 282;fine porphyritic basalt;6.4
Apollo 15;15678;NA;SRC 2;DB 282;fine porphyritic basalt;7.5
Apollo 15;15679;NA;SRC 2;DB 282;fine porphyritic basalt;0.7
Apollo 15;15680;NA;SRC 2;DB 282;fine porphyritic basalt;0.3
Apollo 15;15681;NA;SRC 2;DB 282;fine porphyritic basalt;0.3
Apollo 15;15682;NA;SRC 2;DB 282;plumose porphyritic basalt ;50.6
Apollo 15;15683;NA;SRC 2;DB 282;fine porphyritic basalt;22
Apollo 15;15684;NA;SRC 2;DB 282;glass cemented breccia fragments ;1.4
Apollo 15;15685;NA;SRC 2;DB 282;glass cemented breccia fragments ;0.8
Apollo 15;15686;NA;SRC 2;DB 282;glass cemented breccia fragments ;0.9
Apollo 15;15687;NA;SRC 2;DB 282;glass cemented breccia fragments ;1.4
Apollo 15;15688;NA;SRC 2;DB 282;glass cemented breccia fragments ;5.3
Apollo 15;15689;NA;SRC 2;DB 282;breccia with sugary clasts ;2.8
Apollo 15;15901;NA;SCB1;DB156;DB residue;13.6
Apollo 15;15902;NA;SCB1;DB157;DB residue;4.5
Apollo 15;15903;NA;SCB1;DB158;DB residue;2.7
Apollo 15;15904;NA;SCB1;DB159;DB residue;1.2
Apollo 15;15906;NA;SCB1;DB160;DB residue;2.8
Apollo 15;15907;NA;SCB1;DB181;DB residue;5.3
Apollo 15;15908;NA;SCB1;DB161;DB residue;1.2
Apollo 15;15909;NA;SCB1;DB182;DB residue;1.7
Apollo 15;15910;NA;SCB1;DB186;DB residue;4.9
Apollo 15;15911;NA;SCB1;DB187;DB residue;4.8
Apollo 15;15912;NA;SCB5;DB162;DB residue;8.1
Apollo 15;15916;NA;SCB5;DB190;DB residue;3.2
Apollo 15;15917;NA;SCB5;DB192;DB residue;26.6
Apollo 15;15918;NA;SCB5;DB193;DB residue;14.5
Apollo 15;15924;NA;SCB3;DB196;DB residue;2.7
Apollo 15;15925;NA;SCB5;DB170;DB residue;0.8
Apollo 15;15926;NA;SCB5;DB198;DB residue;12.4
Apollo 15;15927;NA;SCB5;DB199;DB residue;20.1
Apollo 15;15931;NA;SCB5;DB203;DB residue;1.7
Apollo 15;15932;NA;SCB5;DB174;DB residue;20.5
Apollo 15;15933;NA;SCB5;DB204;DB residue;15.9
