Mission;Sample;Subsample;depth (cm);Sieve size (µm);weight %;D50 (µm);Source
Apollo 12;12001;"12001;7";;500.0;5.45;70.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 12;12001;"12001;7";;250.0;9.68;70.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 12;12001;"12001;7";;150.0;10.76;70.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 12;12001;"12001;7";;90.0;15.25;70.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 12;12001;"12001;7";;75.0;5.08;70.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 12;12001;"12001;7";;45.0;16.47;70.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 12;12001;"12001;7";;20.0;20.47;70.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 12;12001;"12001;7";;10.0;14.14;70.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 12;12001;"12001;62";;10000.0;0.0;54.52;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 12;12001;"12001;62";;1000.0;1.69;54.52;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 12;12001;"12001;62";;841.0;0.83;54.52;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 12;12001;"12001;62";;420.0;6.93;54.52;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
