sample ID;serial number ;return container;Container;sample type;weight (g)
76242;NA;SCB4;DB312;1-2mm fines;1.2
76243;NA;SCB4;DB312;2-4mm fines;1.23
76244;NA;SCB4;DB312;4-10mm fines;1.53
76245;NA;SCB4;DB312;green gray breccia;8.24
76246;NA;SCB4;DB312;green gray breccia;6.5
76250;NA;SCB4;DB536;db residue ;4.63
76255;NA;SCB4;DB536;tan breccia;406.6
76260;NA;SCB4;DB313;unsieved fines ;96.6
76261;NA;SCB4;DB313;<1mm fines;170.7
76262;NA;SCB4;DB313;1-2mm fines;8.55
76263;NA;SCB4;DB313;2-4mm fines;6.57
76264;NA;SCB4;DB313;4-10mm fines;8.76
76265;NA;SCB4;DB313;green gray breccia;1.75
76270;NA;SCB4;DB537;db residue ;0.46
76275;NA;SCB4;DB537;blue gray breccia;55.93
76280;NA;SCB4;DB472;unsieved fines ;153
76281;NA;SCB4;DB472;<1mm fines;251.8
76282;NA;SCB4;DB472;1-2mm fines;14.27
76283;NA;SCB4;DB472;2-4mm fines;12.71
76284;NA;SCB4;DB472;4-10mm fines;10.69
76285;NA;SCB4;DB472;agglutinate;2.208
76286;NA;SCB4;DB472;brecciated troctolite;1.704
76290;NA;SCB4;DB538;db residue ;9.65
76295;NA;SCB4;DB538;tan breccia;260.7
76305;NA;SCB4;DB556;brecciated olivine norite;4.01
76306;NA;SCB4;DB556;brecciated olivine norite;4.25
76307;NA;SCB4;DB556;brecciated olivine norite;2.49
76310;NA;SCB7;DB539;db residue ;25.39
76315;NA;SCB7;DB539;blue gray breccia;671.1
76320;NA;SCB7;DB557;unsieved fines ;260.3
76321;NA;SCB7;DB557;<1mm fines;502.7
76322;NA;SCB7;DB557;1-2mm fines;23.1
76323;NA;SCB7;DB557;2-4mm fines;15.84
76324;NA;SCB7;DB557;4-10mm fines;11.8
76330;NA;BSLSS;DB560;db residue ;418.6
76335;NA;BSLSS;DB560;friable anorthositic breccia;352.9
76500;NA;SCB4;DB559;unsieved fines ;345.2
76501;NA;SCB4;DB559;<1mm fines;630.7
76502;NA;SCB4;DB559;1-2mm fines;22.76
76503;NA;SCB4;DB559;2-4mm fines;10.09
76504;NA;SCB4;DB559;4-10mm fines;10.72
76505;NA;SCB4;DB559;green gray breccia;4.69
76506;NA;SCB4;DB559;friable dark matrix breccia;2.81
76530;NA;SCB4;DB558;db residue ;70.27
76535;NA;SCB4;DB558;coarse norite ;155.5
76536;NA;SCB4;DB558;brecciated norite;10.26
76537;NA;SCB4;DB558;fine basalt;26.48
76538;NA;SCB4;DB558;medium basalt;5.87
76539;NA;SCB4;DB558;vitrophyric basalt;14.8
76545;NA;SCB4;DB558;dark vitreous matrix breccia;7.676
76546;NA;SCB4;DB558;dark vitreous matrix breccia;24.31
76547;NA;SCB4;DB558;dark vitreous matrix breccia;10.05
76548;NA;SCB4;DB558;dark vitreous matrix breccia;2.527
76549;NA;SCB4;DB558;dark vitreous matrix breccia;9.175
76555;NA;SCB4;DB558;crystalline basalt;8.435
76556;NA;SCB4;DB558;crystalline matrix rich basalt;7.396
76557;NA;SCB4;DB558;crystalline matrix rich basalt;5.592
76558;NA;SCB4;DB558;crystalline matrix rich basalt;0.683
76559;NA;SCB4;DB558;crystalline matrix rich basalt;0.747
76565;NA;SCB4;DB558;friable dark matrix breccia;11.6
76566;NA;SCB4;DB558;friable dark matrix breccia;2.639
76567;NA;SCB4;DB558;friable dark matrix breccia;5.49
76568;NA;SCB4;DB558;basalt rich breccia;9.477
76569;NA;SCB4;DB558;crystalline breccia;4.207
76575;NA;SCB4;DB558;crystalline breccia;16.25
76576;NA;SCB4;DB558;crystalline breccia;5.327
76577;NA;SCB4;DB558;crystalline breccia;13.54
77010;NA;SCB7;NA;SCB residue ;93.65
77017;NA;SCB7;DB541;brecciated olivine gabbro;1730
77035;NA;BSLSS;NA;green gray breccia;5727
77070;NA;SCB7;DB544;db residue ;9.28
77075;NA;SCB7;DB544;dark gray dike;172.4
77076;NA;SCB7;DB544;dark gray dike;13.97
77077;NA;SCB7;DB544;dark gray dike;5.45
77110;NA;SCB4;DB561;dust and sweepings;0.15
77115;NA;SCB4;DB561;blue gray breccia;115.9
77130;NA;SCB4;DB562;db residue ;1.42
77135;NA;SCB4;DB562;green gray breccia;337.4
77210;NA;SCB7;DB543;db residue ;111.7
77215;NA;SCB7;DB543;brecciated norite;846.4
77510;NA;SCB7;DB540;unsieved fines ;77.57
77511;NA;SCB7;DB540;<1mm fines;118.1
77512;NA;SCB7;DB540;1-2mm fines;2.45
77513;NA;SCB7;DB540;2-4mm fines;1.19
77514;NA;SCB7;DB540;4-10mm fines;1.24
77515;NA;SCB7;DB540;green gray breccia;337.6
77516;NA;SCB7;DB540;medium basalt;103.7
77517;NA;SCB7;DB540;feldspathic breccia;45.6
77518;NA;SCB7;DB540;green gray breccia;42.5
77519;NA;SCB7;DB540;green gray breccia;27.4
77525;NA;SCB7;DB540;feldspathic breccia;1.19
77526;NA;SCB7;DB540;feldspathic breccia;1.07
77530;NA;SCB7;DB542;unsieved fines ;82.76
77531;NA;SCB7;DB542;<1mm fines;126.6
77532;NA;SCB7;DB542;1-2mm fines;3.13
77533;NA;SCB7;DB542;2-4mm fines;2.51
77534;NA;SCB7;DB542;4-10mm fines;4.46
77535;NA;SCB7;DB542;coarse basalt;577.8
77536;NA;SCB7;DB542;coarse basalt;355.3
77537;NA;SCB7;DB542;green gray breccia;71.7
77538;NA;SCB7;DB542;light gray breccia;47.2
77539;NA;SCB7;DB542;tan breccia;39.6
77545;NA;SCB7;DB542;green gray breccia;29.5
78120;NA;SCB5;DB50Y;unsieved fines ;75.78
78121;NA;SCB5;DB50Y;<1mm fines;121.6
78122;NA;SCB5;DB50Y;1-2mm fines;4.43
78123;NA;SCB5;DB50Y;2-4mm fines;2.49
78124;NA;SCB5;DB50Y;4-10mm fines;5.64
78130;NA;SCB4;DB563;db residue ;3.62
78135;NA;SCB4;DB563;medium basalt;133.9
78150;NA;SCB4;DB567;dust and sweepings;0.65
78155;NA;SCB4;DB567;babbroic breccia;401.1
78220;NA;SCB7;DB545;unsieved fines ;108.3
78221;NA;SCB7;DB545;<1mm fines;227.1
78222;NA;SCB7;DB545;1-2mm fines;5.21
78223;NA;SCB7;DB454;2-4mm fines;2.69
78224;NA;SCB7;DB454;4-10mm fines;1.48
78230;NA;SCB4;DB564;unsieved fines ;82.98
78231;NA;SCB4;DB564;<1mm fines;122.7
78232;NA;SCB4;DB564;1-2mm fines;2.68
78233;NA;SCB4;DB564;2-4mm fines;1.42
78234;NA;SCB4;DB564;4-10mm fines;0.72
78235;NA;SCB4;DB564;coarse norite ;199
78236;NA;SCB4;DB564;coarse norite ;93.06
78238;NA;SCB4;DB564;coarse norite ;57.58
78250;NA;SCB4;DB546;unsieved fines ;50.57
78255;NA;SCB4;DB546;coarse norite ;48.31
78420;NA;SCB4;DB548;unsieved fines ;97.94
78421;NA;SCB4;DB548;<1mm fines;186.2
78422;NA;SCB4;DB548;1-2mm fines;4.16
78423;NA;SCB4;DB548;2-4mm fines;2.41
78424;NA;SCB4;DB548;4-10mm fines;1.91
78440;NA;SCB4;DB551;unsieved fines ;81.38
78441;NA;SCB4;DB551;<1mm fines;162.8
78442;NA;SCB4;DB551;1-2mm fines;3.78
78443;NA;SCB4;DB551;2-4mm fines;2.44
78444;NA;SCB4;DB551;4-10mm fines;1.19
78460;NA;SCB7;DB550;unsieved fines ;138.1
78461;NA;SCB7;DB550;<1mm fines;264.5
78462;NA;SCB7;DB550;1-2mm fines;5.328
78463;NA;SCB7;DB550;2-4mm fines;2.787
78464;NA;SCB7;DB550;4-10mm fines;1.303
78465;NA;SCB7;DB550;dark matrix breccia;1.039
78480;NA;SCB4;DB549;unsieved fines ;89.33
78481;NA;SCB4;DB549;<1mm fines;173.9
78482;NA;SCB4;DB549;1-2mm fines;2.69
78483;NA;SCB4;DB549;2-4mm fines;1.21
78484;NA;SCB4;DB549;4-10mm fines;0.32
78500;NA;SCB4;DB566;unsieved fines ;391.1
78501;NA;SCB4;DB566;<1mm fines;718.7
78502;NA;SCB4;DB566;1-2mm fines;21.38
78503;NA;SCB4;DB566;2-4mm fines;16.41
78504;NA;SCB4;DB566;4-10mm fines;19.16
78505;NA;SCB4;DB566;coarse basalt;506.3
78506;NA;SCB4;DB566;coarse basalt ;55.97
78507;NA;SCB4;DB566;coarse basalt;23.35
78508;NA;SCB4;DB566;friable dark matrix breccia;10.67
78509;NA;SCB4;DB566;basalt  ;8.68
78515;NA;SCB4;DB566;coherent dark matrix breccia;4.76
78516;NA;SCB4;DB566;friable dark matrix breccia;3.18
78517;NA;SCB4;DB566;friable white breccia;1.82
78518;NA;SCB4;DB566;friable dark matrix breccia;0.88
78525;NA;SCB4;DB565;agglutinate;5.11
78526;NA;SCB4;DB565;breccia with green glass veins ;8.77
78527;NA;SCB4;DB565;brecciated gabbroic rock ;5.16
78528;NA;SCB4;DB565;fine basalt ;7
78530;NA;SCB4;DB565;db residue ;88.92
78535;NA;SCB4;DB565;coherent dark matrix breccia;103.4
78536;NA;SCB4;DB565;coherent dark matrix breccia;8.67
78537;NA;SCB4;DB565;coherent dark matrix breccia;11.76
78538;NA;SCB4;DB565;coherent dark matrix breccia;5.82
78539;NA;SCB4;DB565;coherent dark matrix breccia;3.73
78545;NA;SCB4;DB565;coherent dark matrix breccia;8.6
78546;NA;SCB4;DB565;coherent dark matrix breccia;42.66
78547;NA;SCB4;DB565;friable dark matrix breccia;29.91
78548;NA;SCB4;DB565;friable dark matrix breccia;15.95
78549;NA;SCB4;DB565;friable dark matrix breccia;16.09
78555;NA;SCB4;DB565;friable dark matrix breccia;6.64
78556;NA;SCB4;DB565;friable dark matrix breccia;9.5
78557;NA;SCB4;DB565;friable dark matrix breccia;7.19
78558;NA;SCB4;DB565;friable dark matrix breccia;3.78
78559;NA;SCB4;DB565;friable dark matrix breccia;3.05
78565;NA;SCB4;DB565;friable dark matrix breccia;3.5
78566;NA;SCB4;DB565;friable dark matrix breccia;0.77
78567;NA;SCB4;DB565;friable dark matrix breccia;18.88
78568;NA;SCB4;DB565;friable dark matrix breccia;3.57
78569;NA;SCB4;DB565;friable dark matrix breccia;14.53
