sample ID;serial number ;return container;Container;sample type;weight (g)
14006;NA;contingency sample;weigh bag 1039;Breccia;12
14007;NA;contingency sample;weigh bag 1039;Breccia;3.67
14008;NA;contingency sample;weigh bag 1039;Breccia;4.35
14009;NA;contingency sample;weigh bag 1039;Breccia;1.09
14010;NA;contingency sample;weigh bag 1039;Breccia;1
14011;NA;contingency sample;weigh bag 1039;Breccia;0.68
14041;NA;contingency sample;bag 3N;friable fine-grained clastic rock ;166.3
14042;NA;contingency sample;bag 3N;friable fine-grained clastic rock ;103.2
14043;NA;contingency sample;bag 3N;friable fine-grained clastic rock ;5.9
14045;NA;contingency sample;bag 4N;friable fine-grained clastic rock ;65.2
14047;NA;contingency sample;bag 5N;fine-grained clastic rock;242
14049;NA;contingency sample;bag 6N;friable fragmental rock;200.13
14051;NA;contingency sample;bag 7N;fragmental rock;191.3
14053;NA;contingency sample;bag 14N;mare basalt;251.3
14055;NA;contingency sample;bag 15N;friable fine-grained clastic rock ;111
14056;NA;contingency sample;bag 15N;soil clod;6.38
14057;NA;contingency sample;bag 15N;friable rock;5.51
14058;NA;contingency sample;bag 15N;clastic rock;4.53
14059;NA;contingency sample;bag 15N;NA;8.68
14060;NA;contingency sample;bag 15N;fragmental rock;2.5
14061;NA;contingency sample;bag 15N;fragmental rock;3.11
14063;NA;contingency sample;bag 16N;white rock;135.55
14064;NA;contingency sample;bag 16N;white rock;107.5
14066;NA;contingency sample;bag 17N;fragmental rock;509.8
14068;NA;contingency sample;bag 10N;holocrystalline melt rock;35.47
14069;NA;contingency sample;bag 10N;breccia;24.9
14070;NA;contingency sample;bag 10N;breccia;36.5
14071;NA;contingency sample;bag 10N;crystalline rock;2.16
14072;NA;contingency sample;bag 10N;basalt;45.06
14073;NA;Trench sample ;bag 20N ;holocrystalline melt rock;10.4
14074;NA;Trench sample ;bag 20N ;holocrystalline melt rock;5.2
14075;NA;Trench sample ;bag 20N ;rock chip;4.65
14076;NA;Trench sample ;bag 20N ;fragmental rock;2
14077;NA;Trench sample ;bag 20N ;holocrystalline plagioclase-rich rock;2.77
14078;NA;Trench sample ;bag 20N ;holocrystalline melt rock;8.3
14079;NA;Trench sample ;bag 20N ;holocrystalline melt rock;3.2
14080;NA;Trench sample ;bag 21N;polymicts;1.94
14081;NA;Trench sample ;bag 21N;polymicts;0.84
14082;NA;Trench sample ;bag 13N;white rock;61.16
14083;NA;Trench sample ;bag 13N;white rock;13.37
14169;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;78.66
14170;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;26.34
14171;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;37.79
14172;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;32.1
14173;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;19.59
14174;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;11.62
14175;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;7.48
14176;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;4.12
14177;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;2.32
14178;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;2.88
14179;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;3.03
14180;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;4.75
14181;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;2.48
14182;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;2.29
14183;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;1.4
14184;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;1.48
14185;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;1.52
14186;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;1.26
14187;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;1.9
14188;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;1.6
14194;NA;comprehensive sample;weigh bag 1031;polymict breccia;4.28
14195;NA;comprehensive sample;weigh bag 1031;fragmental rock;2.77
14196;NA;comprehensive sample;weigh bag 1031;polymict breccia;3.93
14197;NA;comprehensive sample;weigh bag 1031;rock ;1.63
14198;NA;comprehensive sample;weigh bag 1031;crystalline rock;1.63
14199;NA;comprehensive sample;weigh bag 1031;polymict breccia;1.88
14200;NA;comprehensive sample;weigh bag 1031;basaltic crystalline rock;1.24
14201;NA;comprehensive sample;weigh bag 1031;polymict breccia;1.56
14210;2044;NA;Drive tube ;drive tube ;39.5
14211;2045;NA;Drive tube ;drive tube ;169.7
14220;2022;NA;Drive tube ;drive tube ;80.7
14230;2043;NA;Drive tube ;drive tube ;76
14250;NA;comprehensive sample;weigh bag 1007;microbreccia;4.06
14251;NA;comprehensive sample;weigh bag 1007;microbreccia;1.51
14252;NA;comprehensive sample;weigh bag 1007;microbreccia;0.86
14253;NA;comprehensive sample;weigh bag 1007;crystalline breccia;1.23
14254;NA;comprehensive sample;weigh bag 1007;soil and glass;1.01
14255;NA;comprehensive sample;weigh bag 1007;microbreccia;22.15
14264;NA;comprehensive sample;weigh bag 1039;vitric breccia;117.8
14265;NA;comprehensive sample;weigh bag 1039;breccia;65.79
14266;NA;comprehensive sample;weigh bag 1039;polymict breccia;6.95
14267;NA;comprehensive sample;weigh bag 1039;vitric breccia;54.77
14268;NA;comprehensive sample;weigh bag 1039;vitric breccia;23.12
14269;NA;comprehensive sample;weigh bag 1039;microbreccia;17.19
14270;NA;comprehensive sample;weigh bag 1039;crystalline breccia;25.59
14271;NA;comprehensive sample;weigh bag 1039;vitric breccia;97.41
14272;NA;comprehensive sample;weigh bag 1039;vitric breccia;46.63
14273;NA;comprehensive sample;weigh bag 1039;vitric breccia;22.4
14274;NA;comprehensive sample;weigh bag 1039;polymict breccia;15.18
14275;NA;comprehensive sample;weigh bag 1039;polymict breccia;12.46
14276;NA;comprehensive sample;weigh bag 1039;crystalline rock;12.75
14277;NA;comprehensive sample;weigh bag 1039;vitric breccia;7.59
14278;NA;comprehensive sample;weigh bag 1039;polymict breccia;7.6
14279;NA;comprehensive sample;weigh bag 1039;polymict breccia;5.67
14280;NA;comprehensive sample;weigh bag 1039;vitric breccia;6.2
14281;NA;comprehensive sample;weigh bag 1039;vitric breccia;12.03
14282;NA;comprehensive sample;weigh bag 1039;soil breccia;1.89
14283;NA;comprehensive sample;weigh bag 1039;crystalline polymict breccia;1.25
14284;NA;comprehensive sample;weigh bag 1039;microbreccia;1.47
14285;NA;comprehensive sample;weigh bag 1039;polymict breccia;2.23
14286;NA;comprehensive sample;weigh bag 1039;fragmental rock ;4.42
14287;NA;comprehensive sample;weigh bag 1039;microbreccia;1.07
14288;NA;comprehensive sample;weigh bag 1039;vitric breccia;3.44
14294;NA;comprehensive sample;weigh bag 1038;breccia;3.43
14295;NA;comprehensive sample;weigh bag 1038;polymict breccia;1.24
14296;NA;comprehensive sample;weigh bag 1038;polymict breccia chip ;2.26
14297;NA;comprehensive sample;weigh bag 1038;polymict breccia;1.73
14301;NA;comprehensive sample;weigh bag 1031;polymict breccia;1361
14302;NA;comprehensive sample;weigh bag 1027;holocrystalline breccia;380
14303;NA;comprehensive sample;weigh bag 1027;breccia;898
14304;NA;comprehensive sample;weigh bag 1027;breccia;2499
14305;NA;comprehensive sample;weigh bag 1027;holocrystalline breccia;2117
14306;NA;comprehensive sample;weigh bag 1031;breccia;582.8
14307;NA;comprehensive sample;weigh bag 1031;polymict breccia;155
14309;NA;comprehensive sample;weigh bag 1031;vitric breccia;42.4
14310;NA;comprehensive sample;weigh bag 1031;melt rock ;3439
14311;NA;comprehensive sample;weigh bag 1031;fragmental polymict breccia;3204.4
14312;NA;comprehensive sample;;polymict breccia;299
14313;NA;comprehensive sample;documented bag 27N;fragmental polymict breccia;144
14314;NA;comprehensive sample;;friable polymict breccia;115.7
14315;NA;comprehensive sample;weigh bag 1038;breccia;115
14316;NA;comprehensive sample;weigh bag 1038;fragmental breccia;38.2
14317;NA;comprehensive sample;weigh bag 1038;coherent breccia;16.1
14318;NA;comprehensive sample;weigh bag 1038;polymict breccia;600.2
14319;NA;comprehensive sample;weigh bag 1038;polymict breccia;211.6
14320;NA;comprehensive sample;weigh bag 1038;polymict breccia;64.9
14321;NA;comprehensive sample;weigh bag 1038;polymict breccia;8998
14425;NA;bulk sample ;weigh bag 2;glass sphere;0.794
14426;NA;bulk sample ;weigh bag 2;polymict  breccia;1.58
14427;NA;bulk sample ;weigh bag 2;clastic rock;4.47
14428;NA;bulk sample ;weigh bag 2;vesicular breccia;1.47
14429;NA;bulk sample ;weigh bag 2;vesicular polymict breccia;3.03
14430;NA;bulk sample ;weigh bag 2;polymict breccia;4.81
14431;NA;bulk sample ;weigh bag 2;crystalline rock;1.7
14433;NA;bulk sample ;weigh bag 2;friable polymict breccia;1.23
14434;NA;bulk sample ;weigh bag 2;coarse grained polymict breccia;1.68
14435;NA;bulk sample ;weigh bag 2;holocrystalline rock;0.92
14436;NA;bulk sample ;weigh bag 2;igneous rock;3.76
14437;NA;bulk sample ;weigh bag 2;fragmental rock;2.65
14438;NA;bulk sample ;weigh bag 2;friable polymict breccia;3.35
14439;NA;bulk sample ;weigh bag 2;friable fragmental rock;1
14440;NA;bulk sample ;weigh bag 2;holocrystalline rock;1.5
14441;NA;bulk sample ;weigh bag 2;fragmental rock;1.23
14442;NA;bulk sample ;weigh bag 2;friable fragment ;3.51
14443;NA;bulk sample ;weigh bag 2;holocrystalline rock;2.5
14444;NA;bulk sample ;weigh bag 2;holocrystalline rock;1.6
14445;NA;bulk sample ;weigh bag 2;polymict breccia;9.22
14446;NA;bulk sample ;weigh bag 2;chips of plagioclase-rich rock;0.82
14447;NA;bulk sample ;weigh bag 2;agglomeration of fine grained clastics;0.91
14448;NA;bulk sample ;weigh bag 2;agglomeration of fine grained clastics;1.06
14449;NA;bulk sample ;weigh bag 2;chip of clastic rock;1.7
14450;NA;bulk sample ;weigh bag 2;agglomeration of fine grained clastics;1.27
14451;NA;bulk sample ;weigh bag 2;holocrystalline rock;2.1
14452;NA;bulk sample ;weigh bag 2;clastic rock;1.77
14453;NA;bulk sample ;weigh bag 2;breccia chip;6.03
