sample ID;serial number ;return container;Container;sample type;weight (g)
60001;180;NA;Drill core bit;NA;30.1
60002;18;NA;Drill core stem;NA;211.9
60003;19;NA;Drill core stem;NA;215.5
60004;15;NA;Drill core stem;NA;202.7
60005;24;NA;Drill core stem;NA;76.1
60006;12;NA;drive tube ;NA;165.6
60007;14;NA;Drill core bottom;NA;105.7
60009;2054;NA;Drive tube;NA;759.8
60010;2045;NA;Drive tube ;NA;634.3
60013;2032;NA;Drive tube;NA;757.2
60014;2027;NA;Drive tube ;NA;570.3
60015;NA;SCB5;NA;pristine cataclastic anorthosite ;5574
60016;NA;SCB7;NA;fragmental polymict breccia;4307
60017;NA;SCB7;NA;variolitic impact melt / breccia;2102
60018;NA;SCB7;NA;basaltic impact melt ;1501
60019;NA;SCB4;NA;glassy breccia;1887
60025;NA;SCB3;NA;pristine cataclastic anorthosite ;1836
60035;NA;SRC1;DB351;polymict granoblastic breccia;1052
60055;NA;SRC1;DB355;pristine cataclastic anorthosite ;35.48
60056;NA;SRC1;DB355;cataclastic anorthosite ;16.07
60057;NA;SRC1;DB355;cataclastic anorthosite ;3.1
60058;NA;SRC1;DB355;fragmental polymict breccia;2.12
60059;NA;SRC1;DB355;cataclastic anorthosite ;1.05
60075;NA;SRC 1;DB373;fragmental polymict breccia;183.8
60095;NA;SCB1;DB004;glass ;46.6
60115;NA;SCB1;DB381;glassy breccia;132.5
60135;NA;SCB6;DB430;cataclastic anorthosite ;137.7
60215;NA;SCB6;DB13;pristine cataclastic anorthosite ;385.8
60235;NA;SCB6;DB15;basaltic impact melt ;70.13
60255;NA;SCB6;DB17;regolith breccia;871
60275;NA;SCB7;DB18;glassy breccia;255.2
60315;NA;SCB7;DB20;poikilitic impact melt;787.7
60335;NA;SCB6;DB331;basaltic impact melt ;317.8
60515;NA;SCB4;DB349;cataclastic anorthosite ;16.74
60516;NA;SCB4;DB349;cataclastic anorthosite ;7.91
60517;NA;SCB4;DB349;cataclastic anorthosite ;1.23
60518;NA;SCB4;DB349;cataclastic anorthosite ;1.12
60519;NA;SCB4;DB349;cataclastic anorthosite ;0.5
60525;NA;SCB4;DB349;poikilitic impact melt;12.84
60526;NA;SCB4;DB349;poikilitic impact melt;8.42
60527;NA;SCB4;DB349;crystalline polymict breccia;7.36
60528;NA;SCB4;DB349;glassy impact melt ;2.94
60529;NA;SCB4;DB349;basaltic impact melt ;1.24
60535;NA;SCB4;DB349;fragmental polymict breccia;7.23
60615;NA;SCB4;DB347;basaltic impact melt ;32.97
60616;NA;SCB4;DB347;poikilitic impact melt;3.4
60617;NA;SCB4;DB347;crystalline impact melt;2.77
60618;NA;SCB4;DB347;basaltic impact melt ;21.67
60619;NA;SCB4;DB347;granoblastic anorthosite;28
60625;NA;SCB4;DB347;poikilitic impact melt;117
60626;NA;SCB4;DB347;poikilitic impact melt;15.87
60627;NA;SCB4;DB347;crystalline impact melt;12.09
60628;NA;SCB4;DB347;cataclastic anorthosite ;6.86
60629;NA;SCB4;DB347;cataclastic anorthosite ;4.92
60635;NA;SCB4;DB347;basaltic impact melt ;15.05
60636;NA;SCB4;DB347;basaltic impact melt ;35.65
60637;NA;SCB4;DB347;fragmental polymict breccia;7.98
60638;NA;SCB4;DB347;fragmental polymict breccia;0.72
60639;NA;SCB4;DB347;fragmental polymict breccia;175.1
60645;NA;SCB4;DB347;fine-grained impact melt;33.5
60646;NA;SCB4;DB347;fine-grained impact melt;3.39
60647;NA;SCB4;DB347;glassy impact melt ;1.76
60648;NA;SCB4;DB347;glassy breccia;2.84
60649;NA;SCB4;DB347;glassy breccia;1.03
60655;NA;SCB4;DB347;glassy impact melt ;8.63
60656;NA;SCB4;DB347;glassy impact melt ;11.23
60657;NA;SCB4;DB347;fragmental polymict breccia;6.05
60658;NA;SCB4;DB347;glassy impact melt ;5.47
60659;NA;SCB4;DB347;fragmental polymict breccia;22.2
