sample ID;serial number ;return container;Container;sample type;weight (g)
15001;27;NA;drill stem bottom;NA;232.8
15002;10;NA;drill stem section ;NA;210.1
15003;20;NA;drill stem section ;NA;223
15004;11;SRC 2;drill stem section ;NA;210.6
15005;23;SRC 2;drill stem section ;NA;239.1 
15006;22;SRC 2;drill stem top;NA;227.9
15007;2010;SRC 1;drive tube bottom ;NA;768.2
15008;2003;SRC 1;drive tube top ;NA;510.2
15009;2007;SRC 2;drive tube ;NA;622
15010;2014;SRC 2;drive tube bottom ;NA;740.4
15011;2009;SRC 2;drive tube top ;NA;653.6
15012;NA;SRC 2;SESC 1;NA;312.2
15013;NA;SRC 2;SESC  ;NA;296.2
15014;NA;SRC 2;SESC 2;NA;333.2
15015;NA;SRC 2;SCB 4;glass coated breccia;4770.2
15016;NA;SRC 2;SCB 4;porphyritic coated basalt;923.7
15017;NA;SRC 2;DB 162;glass shell;9.8
15018;NA;SRC 2;DB 162;glass object;5.7
15019;NA;SRC 2;DB 162;glassy microbreccia;1.2
15020;NA;contingency sample bag ;SCB 4;unsieved fines ;88.7
15021;NA;contingency sample bag ;SCB 4;<1mm fines;500.2
15022;NA;contingency sample bag ;SCB 4;1-2mm fines;10
15023;NA;contingency sample bag ;SCB 4;2-4mm fines;5
15024;NA;contingency sample bag ;SCB 4;4-10mm fines;3.6
15025;NA;contingency sample bag ;SCB 4;coherent breccia;77.3
15026;NA;contingency sample bag ;SCB 4;glass coated microbreccia;1.1
15027;NA;SRC 2;DB 162;breccia;51
15028;NA;SRC 2;DB 162;glassy breccia;59.4
15030;NA;SRC 2;DB 252;unsieved fines ;75.3
15031;NA;SRC 2;DB 252;<1mm fines;207.8
15032;NA;SRC 2;DB 252;1-2mm fines ;7
15033;NA;SRC 2;DB 252;2-4mm fines;6.6
15034;NA;SRC 2;DB 252;4-10mm fines;7
15040;NA;SRC 2;DB 253;unsieved fines ;113.4
15041;NA;SRC 2;DB 253;<1mm fines;269.6
15042;NA;SRC 2;DB 253;1-2mm fines;5.1
15043;NA;SRC 2;DB 253;2-4mm fines;2.8
